				   realsendlost:5 sendlost:16
				   max delay:100 lost:24 real:6 restore:18
				   nodatacount:1 over500count:0 latecount:32 
[2021-04-01 22:46:50 013543]	Audio Jitter his delaytime:100 55 40 40 40 40 40 40
[2021-04-01 22:46:50 034513]	audio Render timestamp: 10408 79
[2021-04-01 22:46:50 048229]	audio Render timestamp: 10428 20
[2021-04-01 22:46:50 074347]	audio Render timestamp: 10449 21
[2021-04-01 22:46:50 088672]	audio Render timestamp: 10469 20
[2021-04-01 22:46:50 101304]	audio Render timestamp: 10489 20
[2021-04-01 22:46:50 175462]	net delay time:278
[2021-04-01 22:46:50 175654]	receive audio timestamp: 10509
[2021-04-01 22:46:50 175686]	receive audio timestamp: 10528
[2021-04-01 22:46:50 175707]	receive audio timestamp: 10549
[2021-04-01 22:46:50 175855]	receive audio timestamp: 10569
[2021-04-01 22:46:50 175883]	receive audio timestamp: 10590
[2021-04-01 22:46:50 175903]	receive audio timestamp: 10608
[2021-04-01 22:46:50 176313]	receive audio timestamp: 10509
[2021-04-01 22:46:50 176348]	receive audio timestamp: 10629
[2021-04-01 22:46:50 178239]	packet list size:6
